customer_id,Customer_Age,Income_Category,Total_Relationship_Count,Total_Trans_Amt,Total_Trans_Ct,Months_Inactive_12_mon,cluster,churned,churn_probability,propensity_score,targeting_band
789172683,56,$60K - $80K,6,1741,27,2,0,0,0.00023658224,,
738406533,59,$40K - $60K,3,1719,27,2,0,0,0.00046988152,,
799723908,46,$80K - $120K,4,1217,27,3,2,0,0.0055162045,,
771490833,52,$80K - $120K,5,1140,40,1,3,0,0.002855562,,
720756708,52,Less than $40K,6,1878,30,3,0,0,0.0006502527,,
779471883,54,Less than $40K,2,705,19,3,0,1,0.99560505,0.09905362,Low priority
711525033,66,Less than $40K,3,1946,38,4,0,0,0.0020876643,,
712813458,49,$120K +,4,1414,35,2,2,0,0.018561868,,
714374133,56,$120K +,1,602,15,3,2,1,0.99974424,0.0881327,Low priority
717891558,49,Less than $40K,6,1052,32,4,0,0,0.097668804,,
716632758,49,Less than $40K,2,1295,40,2,0,0,0.072233364,0.52637905,Test
768563658,56,$40K - $60K,4,1424,29,2,3,0,0.0004611223,,
711427458,44,Unknown,4,1359,25,1,3,0,0.00022223956,,
714091983,42,$60K - $80K,4,1168,27,4,0,0,0.0042812913,,
787584108,55,$80K - $120K,4,1097,33,2,0,0,0.03671982,,
712030833,48,$60K - $80K,2,691,15,4,2,1,0.9996741,0.09048981,Low priority
711481533,39,$60K - $80K,5,1316,28,3,3,0,0.0009564752,,
710082708,44,$120K +,2,1276,26,4,2,0,0.27938506,0.5582472,Priority
708155733,53,$120K +,4,1289,23,2,3,0,0.0005566741,,
788979258,51,$80K - $120K,4,1293,32,1,2,0,0.004920409,,
807986133,57,$60K - $80K,5,1353,35,3,2,0,0.0035659892,,
788730933,44,Less than $40K,6,1132,28,3,0,0,0.19522128,,
711314058,49,$60K - $80K,2,1670,17,2,0,0,0.0029078366,0.41239452,Test
717975333,50,$80K - $120K,6,837,15,2,3,0,0.72637427,,
715971108,51,$120K +,3,1550,41,2,3,0,0.0012362342,,
720096558,55,Less than $40K,5,1540,36,3,2,0,0.04561532,,
719580033,54,$60K - $80K,4,1256,21,2,2,0,0.014634857,,
820582308,42,$80K - $120K,6,1394,35,2,2,0,0.040140364,,
789973308,44,$60K - $80K,3,1341,24,3,3,0,0.0008079061,,
712876233,53,$80K - $120K,5,1289,33,3,2,0,0.016564429,,
804595158,44,Less than $40K,6,1112,23,4,3,0,0.017722607,,
714826758,37,Less than $40K,4,2339,57,4,3,0,0.020900052,,
779058108,49,$60K - $80K,6,1468,23,1,0,0,0.0033220015,,
710790258,47,$80K - $120K,6,1334,35,3,2,0,0.022907956,,
715623483,47,$60K - $80K,4,1457,41,4,3,0,0.00012068025,,
715156383,44,$120K +,6,1603,29,2,2,0,0.0080638295,,
711013983,55,$40K - $60K,2,615,12,4,2,1,0.99886024,0.098165005,Low priority
755420433,59,Unknown,2,1068,20,3,2,0,0.5037179,0.5440233,Test
794543958,53,$80K - $120K,5,1590,27,4,3,0,0.00047027023,,
716396358,52,$60K - $80K,5,1531,35,3,0,0,0.00072590134,,
715398033,53,$120K +,4,1212,31,2,3,0,0.0014290689,,
711743883,43,Less than $40K,5,1237,32,2,2,0,0.40342724,,
719720058,44,$60K - $80K,4,1413,14,3,3,0,0.00013352807,,
778992108,57,$120K +,5,1516,29,3,3,0,0.0013278327,,
717539808,51,Less than $40K,3,1276,21,2,3,0,0.009002327,,
714070758,49,$80K - $120K,4,1564,35,3,3,0,0.00013309333,,
714107958,45,$40K - $60K,4,1465,34,4,2,0,0.25178823,,
789140283,53,$80K - $120K,5,1286,29,4,0,0,0.0012259551,,
715550508,45,Unknown,5,1312,20,1,0,0,0.0003832549,,
719712633,64,Less than $40K,6,1673,32,4,2,0,0.0012874465,,
772629333,45,$40K - $60K,5,1313,30,4,2,0,0.03778306,,
720336708,53,$40K - $60K,5,1609,42,3,0,0,0.0025029203,,
802013583,56,$120K +,3,1158,19,2,3,0,0.0010192659,,
711887583,47,$80K - $120K,2,836,18,3,2,1,0.9977763,0.3010216,Low priority
714778833,49,Unknown,4,1289,22,4,3,0,0.0008184127,,
713843283,41,Unknown,5,1487,26,3,2,0,0.008153715,,
779155158,53,$120K +,6,1259,33,2,2,0,0.0034283753,,
721091583,44,Less than $40K,3,1298,15,3,0,0,0.007693601,,
713572683,44,$60K - $80K,3,1226,34,3,3,0,0.084647596,,
716657058,43,Less than $40K,2,1566,37,3,2,0,0.9612341,0.61431456,Priority
779509983,53,$120K +,6,1022,21,1,3,0,0.03622401,,
717929133,44,$60K - $80K,5,1235,30,2,2,0,0.0015485812,,
808284783,62,Less than $40K,6,1951,44,0,3,0,0.015922299,,
708476808,54,$120K +,6,1047,31,3,3,0,0.00911567,,
710916408,57,$60K - $80K,4,1342,32,3,2,0,0.0016824651,,
708492558,42,$60K - $80K,5,1107,21,3,3,0,0.005059641,,
799825758,42,$60K - $80K,5,1251,35,1,2,0,0.0039054204,,
718619883,54,Less than $40K,2,1305,24,2,3,0,0.0052001243,0.84416103,Priority
711844758,48,$80K - $120K,6,1388,37,1,3,0,0.000120557874,,
714798783,49,$80K - $120K,6,1235,18,2,3,0,0.00021259909,,
826762908,52,$80K - $120K,3,2089,36,2,3,0,0.0071160155,,
771894558,50,$80K - $120K,4,1626,25,1,2,0,0.00046632282,,
721074183,49,$60K - $80K,4,1111,24,6,2,0,0.012407976,,
715259583,53,Less than $40K,3,1553,38,2,2,0,0.004255189,,
718414008,50,$120K +,3,1064,13,2,2,0,0.09687029,,
719666283,55,Less than $40K,4,1243,29,1,0,0,0.000502753,,
714877233,53,$80K - $120K,3,1659,38,2,3,0,0.00037062343,,
785387883,47,$40K - $60K,4,1594,47,3,2,0,0.07509224,,
771075258,55,$120K +,2,1268,42,3,2,0,0.45968643,0.5921833,Priority
711318033,47,$60K - $80K,4,1304,24,2,3,0,0.0108839655,,
783554958,58,$120K +,6,1368,30,1,3,0,0.00228022,,
720201033,53,$80K - $120K,3,720,23,3,2,1,0.97923917,,
718039683,52,$40K - $60K,3,1521,29,1,3,0,0.0012013344,,
710806083,50,Less than $40K,4,1137,30,2,2,0,0.008996637,,
714752208,42,Less than $40K,5,978,16,1,0,0,0.051329195,,
822063408,43,$40K - $60K,5,1221,16,1,3,0,0.0040771854,,
714490308,57,$80K - $120K,3,1565,28,2,3,0,0.0005657966,,
713356833,52,$80K - $120K,3,1578,34,1,0,0,0.0048885685,,
711402333,47,Less than $40K,2,1493,32,1,3,0,0.6277941,0.55304205,Test
708296883,44,$40K - $60K,3,1178,27,1,3,0,0.00087046775,,
719154483,53,$60K - $80K,5,991,26,3,2,0,0.08147163,,
717721458,45,$60K - $80K,5,2560,42,1,3,0,0.00050801755,,
711112683,63,Unknown,6,1657,29,2,3,0,0.0002536294,,
715674483,39,Less than $40K,4,1204,19,2,2,0,0.024690691,,
789322833,48,Less than $40K,1,673,18,3,2,1,0.9973908,0.23195618,Low priority
789968058,51,$120K +,6,1131,18,2,2,0,0.014909095,,
709919283,54,$80K - $120K,2,1576,25,3,3,0,0.0019515798,0.66977626,Priority
718744008,59,Less than $40K,3,1217,20,2,2,0,0.014545759,,
767712558,59,$60K - $80K,2,530,10,3,2,1,0.99813795,0.1758638,Low priority
712950783,48,Less than $40K,3,739,16,2,2,1,0.9984255,,
716104983,41,Less than $40K,6,1617,31,3,0,0,0.0011457982,,
818839983,55,$120K +,3,1592,34,2,3,0,0.00012798658,,
772288758,47,Unknown,4,1343,30,1,3,0,0.0013697299,,
712350858,41,$80K - $120K,4,1303,39,1,2,0,0.0029159884,,
711009708,40,$80K - $120K,5,1351,22,1,3,0,0.01164459,,
712720158,68,Unknown,5,1910,32,2,3,0,0.00039897554,,
712215258,50,$40K - $60K,2,1298,22,2,2,0,0.6627594,0.45623666,Test
773827008,47,$60K - $80K,6,1087,29,2,0,0,0.0037258922,,
795232683,53,Less than $40K,4,1439,26,2,3,0,0.00037979384,,
713786508,42,$40K - $60K,3,1238,28,3,2,0,0.3791687,,
713539833,48,$40K - $60K,6,1716,29,1,3,0,0.0017556327,,
712454058,49,$120K +,6,1099,27,1,2,0,0.018135147,,
718759833,44,Unknown,4,1058,24,3,3,0,0.0038591013,,
718803333,43,Less than $40K,2,1285,29,3,0,0,0.2784644,0.69045985,Priority
720253908,56,$80K - $120K,5,1651,28,2,3,0,0.00068562495,,
714133158,59,Unknown,2,1152,31,3,2,0,0.7101874,0.78055435,Priority
713187033,46,$60K - $80K,3,1767,38,2,3,0,0.0011332592,,
714791208,47,Less than $40K,6,1039,24,5,2,0,0.29791927,,
772426383,50,$40K - $60K,5,1130,28,2,0,0,0.0034155676,,
710975883,51,Less than $40K,3,1645,30,1,0,0,0.026139513,,
714264408,47,Less than $40K,4,1413,29,1,0,0,0.0032889894,,
715827858,58,Less than $40K,3,1218,23,3,0,0,0.0010126657,,
713741358,46,$80K - $120K,6,597,17,3,2,1,0.97185373,,
709531908,53,$60K - $80K,5,2184,53,2,3,0,0.48292333,,
716493408,45,Unknown,4,1592,37,3,3,0,0.0019559714,,
714141108,52,Less than $40K,6,1388,28,3,2,0,0.012679429,,
708953883,53,$80K - $120K,2,757,20,2,2,1,0.99811304,0.09212263,Low priority
712608783,50,$80K - $120K,3,1504,34,1,2,0,0.0053026117,,
820353558,41,$40K - $60K,4,1503,34,1,2,0,0.0056206784,,
714964758,45,$40K - $60K,5,1105,28,2,3,0,0.0063336645,,
716264358,53,$80K - $120K,2,2398,47,1,3,0,0.0104137175,0.5184867,Test
717296808,67,Less than $40K,4,1661,32,3,0,0,0.00039663608,,
712977183,57,$40K - $60K,6,1421,22,3,3,0,0.0001894311,,
710829108,59,$40K - $60K,4,999,28,2,2,0,0.021641409,,
779562633,45,$40K - $60K,3,1387,18,2,3,0,0.0008135158,,
715315833,51,$80K - $120K,6,1243,24,2,3,0,0.0020589102,,
815500983,59,Less than $40K,5,1860,36,3,0,0,0.00016923946,,
719360583,53,$60K - $80K,6,1502,25,2,0,0,0.00049080333,,
709701558,47,$60K - $80K,2,1460,50,1,3,0,0.008767854,0.61318463,Priority
721148358,49,Unknown,6,1348,27,2,2,0,0.08070398,,
779862408,49,$80K - $120K,3,1087,33,1,3,0,0.020346738,,
812627208,60,Less than $40K,5,1226,33,1,2,0,0.024546916,,
711033408,50,Less than $40K,5,1230,28,1,3,0,0.0012720943,,
779956608,41,Unknown,6,1555,32,1,2,0,0.039184406,,
780376683,57,$80K - $120K,5,1827,24,3,3,0,0.00027940853,,
717912483,43,$80K - $120K,5,1376,35,2,3,0,0.04008565,,
714454758,57,Less than $40K,4,1771,37,2,2,0,0.0041834516,,
780466533,54,$120K +,3,1873,52,3,3,0,0.003773285,,
715735233,51,Less than $40K,5,1679,42,1,0,0,0.002128346,,
720476733,47,Less than $40K,2,1002,22,1,2,0,0.6915389,0.32682168,Low priority
715872333,41,$120K +,3,1344,21,2,3,0,0.0033030377,,
712375758,53,$80K - $120K,3,1461,42,3,3,0,0.0006593073,,
708868233,68,Less than $40K,1,760,21,3,2,1,0.9963085,0.21216546,Low priority
718030083,59,$60K - $80K,4,1428,22,1,3,0,5.3571275e-05,,
720707283,48,$80K - $120K,5,1777,42,3,3,0,0.009868457,,
771698658,44,$60K - $80K,4,1302,27,5,2,0,0.0043356437,,
748326258,48,$80K - $120K,4,1483,41,5,2,0,0.02761128,,
770817783,47,$60K - $80K,3,1060,27,2,2,0,0.18560237,,
779353083,47,$60K - $80K,4,1330,32,2,2,0,0.0022330626,,
711441333,43,Less than $40K,3,1229,27,2,2,0,0.0052788723,,
719808558,55,Less than $40K,2,886,27,4,2,1,0.99974865,0.28054026,Low priority
711551958,59,$60K - $80K,3,844,24,3,2,1,0.9991732,,
809164083,63,$40K - $60K,2,1450,37,1,0,0,0.0015466949,0.45569295,Test
820596183,58,$120K +,2,2311,48,3,3,0,0.02089114,0.76983804,Priority
715999608,53,Less than $40K,4,1378,26,1,0,0,0.00041171815,,
710565408,59,$80K - $120K,3,1033,26,2,3,0,0.053582698,,
805543158,52,$120K +,5,1523,40,3,3,0,0.002556563,,
709752183,48,$60K - $80K,4,1374,37,2,3,0,0.016822068,,
716479233,43,$40K - $60K,5,1080,21,3,3,0,0.005902313,,
713837058,48,Less than $40K,3,1234,24,2,0,0,0.0057663284,,
718876683,43,Less than $40K,5,1600,32,2,3,0,0.00660978,,
770746908,44,$60K - $80K,5,1155,32,1,3,0,0.007972159,,
794843883,41,$80K - $120K,6,1353,33,1,3,0,0.00091483153,,
803043933,44,Less than $40K,4,1546,25,1,3,0,0.00036197822,,
758076408,50,$40K - $60K,2,1590,43,1,0,0,0.13237056,0.31531855,Low priority
714606558,60,Less than $40K,5,1448,22,1,0,0,0.00026188503,,
778425408,44,$80K - $120K,5,1271,24,3,0,0,0.0018777623,,
714171108,48,$40K - $60K,6,1223,20,2,2,0,0.016732045,,
719662458,44,Less than $40K,5,1117,29,2,0,0,0.02158846,,
713137233,41,$80K - $120K,4,994,24,3,3,0,0.007253824,,
769425858,45,$60K - $80K,4,1468,26,1,2,0,0.0580871,,
711297483,47,Less than $40K,6,1658,38,4,2,0,0.062429655,,
788900883,51,Less than $40K,3,1368,38,1,2,0,0.011540469,,
758348808,51,$120K +,4,1218,18,3,2,0,0.003303865,,
772336458,60,$40K - $60K,4,702,12,4,2,1,0.96626407,,
708711483,57,$80K - $120K,2,1516,21,3,3,0,0.00018285989,0.34883192,Low priority
717906783,41,$120K +,5,1310,26,2,3,0,0.00058823894,,
719437908,44,$80K - $120K,6,1767,50,2,3,0,0.0013695263,,
769433508,43,$60K - $80K,6,933,25,3,0,0,0.074858196,,
790096533,55,$60K - $80K,4,1512,27,3,3,0,0.00013821073,,
720997383,52,$80K - $120K,2,829,17,3,0,1,0.9980217,0.14286976,Low priority
787541883,44,$80K - $120K,3,1120,27,3,2,0,0.8111574,,
709930758,41,$40K - $60K,5,1506,33,3,2,0,0.016737215,,
789830058,44,$80K - $120K,4,1384,36,1,3,0,0.00041155508,,
710299608,53,Less than $40K,2,817,30,3,0,1,0.9974648,0.06445235,Low priority
710741208,39,$80K - $120K,4,2094,25,2,2,0,0.009314834,,
821797008,49,$40K - $60K,2,815,21,2,2,1,0.99783844,0.1394813,Low priority
708874533,45,Less than $40K,1,510,24,3,2,1,0.998836,0.13106245,Low priority
715341858,54,$80K - $120K,6,1377,49,2,0,0,0.001322962,,
793636308,49,$80K - $120K,2,1193,33,2,2,0,0.2196791,0.6361553,Priority
713779908,46,Unknown,6,1287,36,3,0,0,0.091996126,,
712125258,46,$120K +,3,701,19,3,2,1,0.99667215,,
709703433,47,$60K - $80K,4,1770,25,1,3,0,0.0008833538,,
721022433,44,$60K - $80K,5,1409,35,1,2,0,0.06745964,,
710103558,50,$120K +,4,1354,28,1,0,0,0.00094453496,,
715952883,73,$40K - $60K,5,1765,34,3,3,0,0.0002282813,,
719731458,56,$40K - $60K,6,1192,27,3,2,0,0.030866053,,
772390908,59,$40K - $60K,2,687,17,4,2,1,0.9975096,0.2697554,Low priority
787348608,70,Less than $40K,3,1227,15,2,2,0,0.0027332327,,
709485033,55,Less than $40K,4,1737,26,3,0,0,0.0013652861,,
715432608,43,$60K - $80K,4,1348,34,1,3,0,0.00031197778,,
799471833,45,$120K +,4,1435,38,2,2,0,0.008122692,,
714187533,45,$40K - $60K,2,1321,28,3,3,0,0.13623722,0.7313356,Priority
779656908,40,$40K - $60K,6,1479,29,3,2,0,0.009020471,,
788950158,36,$80K - $120K,2,1283,39,2,3,0,0.028831055,0.3991408,Low priority
778867533,59,$40K - $60K,1,689,23,4,2,1,0.99957246,0.10607596,Low priority
710620383,43,$60K - $80K,6,965,17,3,3,0,0.018920723,,
778661358,46,Less than $40K,2,1541,40,3,0,0,0.005147905,0.44414502,Test
789483333,41,$40K - $60K,5,1258,23,1,3,0,0.0028680926,,
809855808,51,Less than $40K,5,1339,20,2,2,0,0.0047386736,,
718464258,51,Less than $40K,2,1007,22,2,3,0,0.21096386,0.3611883,Low priority
708528483,43,Unknown,6,1387,33,3,0,0,0.010616855,,
771809733,64,$40K - $60K,1,960,18,3,2,1,0.99734986,0.10037824,Low priority
719942883,54,$60K - $80K,3,1119,18,3,3,0,0.006924265,,
807226683,48,$40K - $60K,6,1642,41,1,2,0,0.033091675,,
717806133,40,$60K - $80K,5,1382,31,3,3,0,0.0038064301,,
720615708,57,$40K - $60K,6,1232,32,2,2,0,0.009594706,,
714511758,45,$80K - $120K,4,1542,16,3,3,0,0.00013231725,,
715050408,41,$80K - $120K,4,1094,32,3,2,0,0.8039279,,
721132233,42,Less than $40K,2,1217,30,2,0,0,0.015615823,0.4676622,Test
719211558,45,$60K - $80K,1,744,18,1,3,1,0.9976127,0.21739264,Low priority
712069008,42,Less than $40K,4,1614,33,2,0,0,0.002596543,,
715996983,47,$80K - $120K,5,1747,31,2,3,0,0.00066944043,,
773466258,48,$40K - $60K,3,1144,22,1,2,0,0.007921665,,
798983508,43,$80K - $120K,4,1575,34,3,3,0,0.0004989007,,
719117433,41,$80K - $120K,4,1463,24,3,3,0,0.00016079094,,
716451183,54,$40K - $60K,5,1706,21,2,3,0,0.00025397303,,
718621608,54,Unknown,3,909,14,3,2,1,0.99847656,,
715085733,61,$40K - $60K,3,2434,33,1,0,0,0.0028079452,,
788977833,61,$80K - $120K,2,1876,41,1,3,0,0.01776133,0.659642,Priority
720272958,48,$120K +,3,1000,25,3,2,1,0.968979,,
708421833,45,Less than $40K,6,1139,30,3,0,0,0.041383553,,
709173108,54,Unknown,6,799,21,2,0,1,0.5873916,,
709879458,54,Unknown,2,1881,45,2,0,0,0.401642,0.5612179,Priority
715120608,44,$60K - $80K,2,1273,27,3,2,0,0.40192512,0.65264946,Priority
770632758,50,Unknown,2,1328,33,3,0,0,0.50641906,0.79971623,Priority
779078733,55,$60K - $80K,3,1579,36,4,2,0,0.0059988713,,
771742533,48,$40K - $60K,5,937,28,1,2,0,0.1861707,,
720250158,45,$60K - $80K,6,1749,37,3,3,0,0.00015283565,,
716458983,60,$40K - $60K,5,1424,29,1,3,0,0.00043975445,,
713747733,55,$40K - $60K,5,2011,41,3,0,0,0.022325061,,
712270158,62,$40K - $60K,5,1208,31,2,2,0,0.0022726788,,
789562383,38,Less than $40K,2,1259,24,3,0,0,0.047286894,0.6273145,Priority
754897008,46,$40K - $60K,2,1319,26,3,2,0,0.4356841,0.5977322,Priority
819700533,50,$120K +,5,949,27,2,3,0,0.10112139,,
712890408,45,$60K - $80K,5,1338,30,3,0,0,0.00093850715,,
720248208,47,$60K - $80K,6,1554,26,3,2,0,0.0026387887,,
779749908,48,$60K - $80K,2,1350,32,2,2,0,0.4144627,0.6129619,Priority
717401883,35,$60K - $80K,5,1694,44,2,3,0,0.0009140583,,
721509558,51,$120K +,3,1678,40,3,3,0,0.0044793515,,
710572458,36,Unknown,4,2069,43,1,3,0,0.07799927,,
714576183,47,$80K - $120K,6,1222,23,3,2,0,0.01425685,,
721425558,52,$120K +,2,1536,37,3,2,0,0.8121372,0.49911636,Test
711109908,43,Less than $40K,2,1400,31,1,3,0,0.035338454,0.5548159,Priority
715203108,63,$40K - $60K,2,1050,28,2,3,0,0.28087348,0.43219465,Test
710027508,61,$60K - $80K,3,1389,33,2,0,0,0.00051769,,
787464408,53,$60K - $80K,5,1184,29,2,2,0,0.08177189,,
783542133,53,Less than $40K,5,2093,42,6,0,0,0.0041502407,,
708330858,57,$120K +,2,678,11,3,2,1,0.996482,0.4220099,Test
714426783,38,Unknown,2,1467,29,3,3,0,0.0069319946,0.4672113,Test
712701333,53,$60K - $80K,5,1219,27,3,2,0,0.00882053,,
709494483,63,Less than $40K,4,1730,36,2,0,0,0.0013186886,,
773373108,49,Less than $40K,4,1025,28,2,0,0,0.0046716193,,
715812258,45,$80K - $120K,5,1165,33,5,2,0,0.0044442317,,
778286433,67,$40K - $60K,4,2133,55,2,3,0,0.0065071913,,
789270033,48,$80K - $120K,3,1122,13,2,2,0,0.5126151,,
711569433,51,Less than $40K,4,1083,22,1,3,0,0.009176314,,
720214833,52,$80K - $120K,3,1234,23,3,3,0,0.0011498015,,
709346133,55,Unknown,3,1277,23,3,0,0,0.00019607102,,
788194458,34,$60K - $80K,4,1843,35,3,0,0,0.002299201,,
720779733,56,$120K +,3,1747,49,2,2,0,0.009978538,,
717424458,44,Less than $40K,3,1166,22,3,0,0,0.0042824885,,
708820308,47,$80K - $120K,6,1326,31,2,3,0,0.010127094,,
710558058,46,Less than $40K,4,1619,36,3,0,0,0.051226594,,
770590758,43,$40K - $60K,5,1285,16,2,2,0,0.003456001,,
718490658,50,Less than $40K,4,1142,28,1,0,0,0.007512341,,
711985833,38,Less than $40K,4,1190,46,1,0,0,0.0001455118,,
708967608,53,Less than $40K,3,1052,24,1,0,0,0.06252182,,
718505958,43,$120K +,5,1628,38,3,2,0,0.012935686,,
715024233,53,$120K +,6,1740,32,3,0,0,0.0018516983,,
779249583,56,Less than $40K,4,1378,29,3,0,0,0.0009060701,,
709278258,54,$40K - $60K,4,996,26,3,0,1,0.49155995,,
778928283,57,Less than $40K,3,1389,32,2,0,0,0.00295416,,
712299858,62,Less than $40K,5,1365,38,3,0,0,0.0024324316,,
799224108,46,Less than $40K,5,1715,43,1,3,0,0.0010221384,,
809976033,49,$60K - $80K,6,1582,25,3,3,0,0.00041578716,,
716203308,52,$80K - $120K,6,1220,22,3,2,0,0.0047126045,,
714871683,58,$40K - $60K,2,715,13,4,2,1,0.9992393,0.08026937,Low priority
716139933,54,$80K - $120K,3,2552,49,1,3,0,0.002101449,,
716984658,49,$120K +,3,1106,31,2,2,0,0.15883277,,
713086008,58,Less than $40K,6,1731,34,1,0,0,5.832096e-05,,
713773458,52,$60K - $80K,5,1435,32,3,2,0,0.0054737274,,
719242533,41,$60K - $80K,5,1882,38,3,2,0,0.07120282,,
772712658,62,Less than $40K,5,2058,34,1,0,0,0.0009124177,,
788868858,54,Less than $40K,4,1658,32,4,0,0,0.0036837556,,
811898133,40,Less than $40K,3,1334,32,1,0,0,0.027087461,,
788808633,43,$80K - $120K,5,1441,29,3,0,0,0.002547131,,
779804208,53,$40K - $60K,6,1371,39,2,3,0,0.0025891082,,
781391058,55,$40K - $60K,6,1991,38,3,0,0,0.19893107,,
790134408,46,$60K - $80K,6,1278,22,2,3,0,0.00024731422,,
788853258,41,$60K - $80K,3,1734,39,2,3,0,0.0018962189,,
711857733,49,$60K - $80K,3,1330,34,2,3,0,0.010797155,,
822969858,61,Unknown,4,1787,31,1,2,0,0.00028543928,,
719554758,46,$80K - $120K,6,1672,32,3,2,0,0.017966723,,
711643458,50,Less than $40K,6,1439,41,3,2,0,0.0052823937,,
788830683,40,$80K - $120K,5,1558,31,1,0,0,0.00018975812,,
807030858,51,$120K +,6,1795,47,3,2,0,0.01972589,,
793059108,50,$40K - $60K,6,893,22,2,2,0,0.1641719,,
716568708,47,Less than $40K,6,1099,27,3,2,0,0.26242855,,
828281733,43,$120K +,3,1408,23,3,2,0,0.012449946,,
717229158,36,$40K - $60K,6,1893,15,3,3,0,0.0029991288,,
715915458,47,Less than $40K,5,1151,31,2,0,0,0.0029424308,,
819129858,46,Less than $40K,5,1519,31,3,3,0,0.00057805236,,
713441958,46,$120K +,5,1245,25,3,2,0,0.0030639966,,
719091333,52,$60K - $80K,3,1102,27,3,2,0,0.31023178,,
708666258,43,$40K - $60K,5,1402,33,3,3,0,0.0010414087,,
714914583,40,Less than $40K,6,1060,30,2,3,0,0.0099421665,,
714363858,54,Less than $40K,3,1459,35,5,0,0,0.01414928,,
721347408,55,Less than $40K,4,1456,39,2,0,0,0.002029054,,
809608533,49,Unknown,6,1439,48,3,3,0,0.0016312856,,
772047183,45,$40K - $60K,6,1353,24,3,0,0,0.0021119025,,
714217908,49,$40K - $60K,5,1173,32,3,2,0,0.006530928,,
714819183,63,$80K - $120K,5,1746,28,2,3,0,0.00070580235,,
716455683,40,Less than $40K,3,1279,28,2,2,0,0.05246234,,
710865633,41,Less than $40K,4,1307,29,2,2,0,0.019254735,,
752952108,37,$80K - $120K,6,1473,37,2,0,0,0.0008245281,,
712595433,58,$120K +,6,1805,37,2,2,0,0.0062103495,,
714982383,55,$60K - $80K,4,1421,23,3,3,0,0.0014353093,,
813814008,53,Less than $40K,6,1272,37,3,0,0,0.0005740003,,
